E,sigma,val
0.0,0.5,0.24103453892299642
0.07142857142857142,0.5,0.23484486518945524
0.14285714285714285,0.5,0.22890736734138817
0.21428571428571427,0.5,0.22325431223401826
0.2857142857142857,0.5,0.21792549248891713
0.3571428571428571,0.5,0.2129709422770727
0.42857142857142855,0.5,0.20845506700152217
0.5,0.5,0.20446317885563792
0.5714285714285714,0.5,0.20111245050223636
0.6428571428571428,0.5,0.19610501604412933
0.7142857142857142,0.5,0.19288399262495193
0.7857142857142857,0.5,0.19242352449815314
0.8571428571428571,0.5,0.19242352299979282
0.9285714285714285,0.5,0.19242352357863557
1.0,0.5,0.19242352326619083
