E,val,val_shared
0.0,1.8748454053984724,1.8747860373520817
0.0125,1.8411246781393182,1.8360969916752186
0.025,1.82760053195985,1.8208742103357631
0.05555555555555555,1.8062037719002286,1.7975777318675852
0.1111111111111111,1.782568391454217,1.7738791234657345
0.16666666666666666,1.7678649715699324,1.7611591750869926
0.2222222222222222,1.7584399634118366,1.7544831740050597
0.2777777777777778,1.7528349211840852,1.7511475290022265
0.3333333333333333,1.7502838301983903,1.7500069976483443
0.38888888888888884,1.7499999995032431,1.7499999999758573
0.4444444444444444,1.749999999984305,1.749999999809274
0.5,1.749999999787428,1.7499999997350337
